代码	简称	最新价	涨跌	涨跌幅	成交金额(万元)	成交量(手)	开盘	最高	最低	
127458	16济市中	93.10	0.10	0.11%	7.54	810	93.10	93.10	93.10	
127445	16渝江02	98.00	0.01	0.01%	2.55	260	98.00	98.00	98.00	
127208	15国网01	103.26	0.36	0.35%	0.10	10	103.26	103.26	103.26	
127102	15襄矿债	91.89	-2.61	-2.76%	0.09	10	91.89	91.89	91.89	
127099	15天瑞02	97.00	-1.00	-1.02%	0.19	20	97.00	97.00	97.00	
127053	15天瑞01	99.08	-0.03	-0.03%	729.72	73650	99.08	99.08	99.00	
127027	14晋城债	57.90	0.10	0.17%	2.66	460	57.90	57.90	57.90	
127026	14沪建债	82.88	-0.12	-0.14%	1.66	200	82.88	82.88	82.88	
124970	14杭地铁	84.20	0.00	0.00%	2.86	340	84.20	84.20	84.20	
124962	14武经开	59.69	0.09	0.15%	3.70	620	59.69	59.69	59.69	
124933	14揭城投	61.30	0.10	0.16%	116.47	19000	61.30	61.30	61.30	
124928	14九龙债	60.00	0.00	0.00%	1.98	330	60.00	60.00	60.00	
124921	14浏阳债	61.61	0.01	0.02%	61.61	10000	61.61	61.61	61.61	
124918	14沪南汇	61.75	0.00	0.00%	23.59	3820	61.75	61.75	61.75	
124894	14海资02	82.00	0.01	0.01%	0.33	40	82.00	82.00	82.00	
124878	14苏高新	61.69	0.00	0.00%	3.39	550	61.69	61.69	61.69	
124862	14台基投	61.40	0.00	0.00%	4.54	740	61.40	61.40	61.40	
124845	14晋开发	60.10	0.00	0.00%	1.80	300	60.10	60.10	60.10	
124817	14北国资	106.60	0.10	0.09%	1.60	150	106.60	106.60	106.60	
124815	14天瑞02	89.53	-1.17	-1.29%	0.90	100	89.51	89.53	89.51	
124800	14金城债	61.69	0.00	0.00%	3.08	500	61.69	61.69	61.69	
124761	14深业团	101.50	0.15	0.15%	101.50	10000	101.50	101.50	101.50	
124736	14柳龙投	80.30	0.10	0.12%	2.17	270	80.30	80.30	80.30	
124735	14合建投	86.28	0.08	0.09%	2.42	280	86.28	86.28	86.28	
124710	14兴国资	61.70	-0.20	-0.32%	30.66	4970	61.66	61.70	61.66	
124707	14渝江01	62.10	-6.90	-10.00%	657.70	105910	62.10	62.10	62.10	
124684	14新城基	61.60	0.10	0.16%	2.65	430	61.60	61.60	61.60	
124677	14乌城投	15.70	0.01	0.06%	3.45	2200	15.69	15.70	15.69	
124662	14京投债	101.99	0.01	0.01%	269.56	26430	101.99	101.99	101.99	
124661	14赣四通	60.50	0.00	0.00%	3.15	520	60.50	60.50	60.50	
124654	14庆经投	7.93	-0.07	-0.88%	0.79	1000	7.93	7.93	7.93	
124641	14江宁开	86.20	0.50	0.58%	40.33	4680	85.80	86.20	85.80	
124629	14苏金灌	60.00	0.00	0.00%	6.00	1000	60.00	60.00	60.00	
124628	14启东01	61.80	0.00	0.00%	66.13	10700	61.79	61.80	61.79	
124615	14昆高新	62.00	0.00	0.00%	1.80	290	62.00	62.00	62.00	
124575	14汕投资	83.80	0.10	0.12%	3.44	410	83.80	83.80	83.80	
124568	14株国投	104.00	0.00	0.00%	76.44	7350	104.00	104.00	104.00	
124563	14吉铁投	60.28	-0.01	-0.02%	19.71	3270	60.29	60.29	60.28	
124534	14渝中债	61.40	0.00	0.00%	4.18	680	61.40	61.40	61.40	
124495	14晟晏债	100.00	0.00	0.00%	544.00	54400	100.00	100.00	100.00	
124480	14东台01	61.80	0.00	0.00%	4.14	670	61.80	61.80	61.80	
124456	13闽投债	102.80	0.10	0.10%	3.08	300	102.80	102.80	102.80	
124409	13宿城投	41.00	0.04	0.10%	1.68	410	41.00	41.00	41.00	
124408	13宛城投	41.20	0.00	0.00%	4.12	1000	41.20	41.20	41.20	
124398	13株城发	40.88	-0.22	-0.54%	3.43	840	40.88	40.88	40.88	
124352	13平凉债	40.09	0.00	0.00%	1.76	440	40.09	40.10	40.09	
124321	13岳城投	41.00	0.10	0.24%	0.04	10	41.00	41.00	41.00	
124312	13景德镇	40.39	0.09	0.22%	2.59	640	40.39	40.39	40.39	
124310	13洪水利	40.60	-0.20	-0.49%	2.84	700	40.60	40.60	40.60	
124281	13石地产	40.47	-0.03	-0.07%	152.29	37630	40.47	40.47	40.47	
124264	13晋城投	40.60	0.00	0.00%	82.70	20370	40.60	40.60	40.60	
124253	13新乡投	40.10	0.01	0.02%	2.97	740	40.10	40.10	40.10	
124252	13邯交通	100.80	0.10	0.10%	2.52	250	100.80	100.80	100.80	
124247	13绍交投	101.90	0.00	0.00%	1.73	170	101.90	101.90	101.90	
124239	13鄞城投	40.50	0.00	0.00%	0.32	80	40.50	40.50	40.50	
124223	13微山矿	67.00	-0.20	-0.30%	67.00	10000	67.00	67.00	67.00	
124161	13瑞水泥	73.97	-0.03	-0.04%	4.68	760	61.27	73.97	61.27	
124149	13镇水投	39.29	0.00	0.00%	39.29	10000	39.29	39.29	39.29	
124145	13蓉兴城	40.55	-0.04	-0.10%	0.41	100	40.55	40.55	40.55	
124143	13泰投资	40.40	-0.09	-0.22%	11.72	2900	40.40	40.40	40.40	
124140	13沧建投	40.40	0.00	0.00%	3.23	800	40.40	40.40	40.40	
124135	13滇公投	100.10	-0.04	-0.04%	461.29	46060	100.10	100.15	100.10	
124123	13南城投	40.40	-0.20	-0.49%	1.09	270	40.40	40.40	40.40	
124122	13抚城投	40.40	0.00	0.00%	4.93	1220	40.40	40.40	40.40	
124116	12渝北飞	40.30	0.00	0.00%	0.04	10	40.30	40.30	40.30	
124112	13豫盛润	90.00	-1.00	-1.10%	34.02	3780	90.00	90.01	90.00	
124110	13宁新开	40.50	0.00	0.00%	0.57	140	40.50	40.50	40.50	
124108	12吴经开	40.45	-0.05	-0.12%	51.71	12800	40.40	40.45	40.40	
124105	12愉悦债	99.60	-0.20	-0.20%	1.10	110	99.60	99.60	99.60	
124074	12张公经	20.40	0.00	0.00%	0.86	420	20.40	20.40	20.40	
124057	12汕城开	63.20	0.10	0.16%	2.97	470	63.20	63.20	63.20	
124053	12营口港	95.00	0.00	0.00%	229.33	24140	95.00	95.00	95.00	
124044	12联想债	103.25	2.26	2.24%	0.10	10	103.25	103.25	103.25	
124005	12昆创控	20.30	-0.07	-0.34%	9.74	4800	20.30	20.30	20.30	
122927	09海航债	95.86	-0.21	-0.22%	316.11	32930	96.01	96.06	95.85	
122867	11石城投	102.90	0.00	0.00%	6.38	620	102.90	102.90	102.90	
122866	10杭交投	101.80	0.00	0.00%	2.44	240	101.80	101.80	101.80	
122803	11滁州债	81.10	-0.08	-0.10%	8.11	1000	81.10	81.10	81.10	
122779	11株城发	63.35	0.00	0.00%	1.20	190	63.35	63.35	63.35	
122724	12攀国投	81.20	0.00	0.00%	2.68	330	81.20	81.20	81.20	
122643	12海资债	90.79	3.80	4.37%	0.09	10	90.79	90.79	90.79	
122616	12黔铁债	83.20	0.10	0.12%	2.58	310	83.20	83.20	83.20	
122608	12西永债	20.20	-0.07	-0.35%	24.32	12040	20.20	20.20	20.20	
122591	12常交债	101.40	-0.30	-0.29%	16.22	1600	101.40	101.40	101.40	
122524	12海亮02	97.00	-0.60	-0.61%	48.90	5010	97.60	97.60	97.00	
122507	12玉交投	20.20	0.00	0.00%	1.74	860	20.20	20.20	20.20	
122494	15华夏05	93.51	0.01	0.01%	7.81	810	96.50	96.50	93.51	
122469	15五矿02	98.10	2.00	2.08%	129.92	13260	97.98	98.10	97.98	
122467	15万达02	102.05	0.05	0.05%	1442.90	141460	102.00	102.05	102.00	
122433	15融创02	95.10	-0.70	-0.73%	19.01	2000	95.00	95.10	95.00	
122427	15海正01	101.00	-0.80	-0.79%	193.72	19180	101.00	101.00	101.00	
122424	15华业债	93.93	0.00	0.00%	9.39	1000	93.93	93.93	93.93	
122402	15城建01	100.92	0.00	0.00%	100.92	10000	100.92	100.92	100.92	
122393	15恒大03	101.48	-0.12	-0.12%	2177.46	215080	101.16	101.48	101.10	
122392	15恒大02	100.57	0.03	0.03%	3297.13	327950	100.55	100.57	100.49	
122383	15恒大01	101.10	0.00	0.00%	343.74	34000	101.10	101.11	101.10	
122377	14首开债	101.35	-0.05	-0.05%	3254.35	321100	101.35	101.35	101.35	
122374	14招商债	104.65	2.04	1.99%	18836.98	1800000	102.90	104.65	102.90	
122365	14昊华01	101.75	0.00	0.00%	9.67	950	101.75	101.75	101.75	
122354	15康美债	88.31	-0.12	-0.14%	414.49	46980	88.31	88.35	88.05	
122329	14伊泰01	102.44	-0.01	-0.01%	30.73	3000	102.44	102.44	102.44	
122318	14中炬01	100.50	-0.70	-0.69%	1.61	160	100.50	100.50	100.50	
122299	13中原债	100.80	-0.11	-0.11%	100.80	10000	100.80	100.80	100.80	
122295	13川投01	100.88	-0.01	-0.01%	201.76	20000	100.88	100.88	100.88	
122249	13平煤债	95.30	0.10	0.11%	1.91	200	95.30	95.30	95.30	
122213	12松建化	96.33	-0.20	-0.21%	84.96	8820	96.33	96.33	96.33	
122201	12开滦01	101.23	0.02	0.02%	303.69	30000	101.23	101.23	101.23	
122168	12兖煤02	101.80	0.30	0.30%	1.93	190	102.30	102.30	100.17	
122147	12华新02	100.70	-0.15	-0.15%	420.93	41800	100.70	100.70	100.70	
122145	11桂东02	94.50	-0.31	-0.33%	2.84	300	94.50	94.50	94.50	
122138	11桂东01	96.23	0.05	0.05%	49.07	5100	96.21	96.23	96.21	
122134	11华微债	100.00	0.10	0.10%	29.20	2920	100.00	100.00	100.00	
122105	11安钢02	100.20	0.00	0.00%	6.01	600	100.22	100.22	100.20	
122087	11凌钢债	100.00	0.00	0.00%	10.00	1000	100.00	100.00	100.00	
122075	11柳钢债	100.00	0.20	0.20%	30.00	3000	100.00	100.00	100.00	
122071	11海航02	93.00	-0.17	-0.18%	791.88	85050	93.16	93.19	93.00	
122054	10中铁G3	100.00	0.00	0.00%	7.22	720	100.30	100.30	100.00	
122015	09长电债	100.74	-0.01	-0.01%	1.21	120	100.74	100.74	100.74	
120605	06三峡债	99.00	0.02	0.02%	2.27	230	98.80	99.01	98.80	
120303	03三峡债	103.35	-1.15	-1.10%	138.49	13400	103.35	103.35	103.35	
113505	杭电转债	91.63	-0.39	-0.42%	372.34	40610	91.73	92.02	91.44	
113504	艾华转债	111.66	-0.54	-0.48%	63.20	5670	110.80	112.00	110.78	
113503	泰晶转债	94.14	-0.36	-0.38%	74.52	7890	94.50	94.83	93.99	
113502	嘉澳转债	90.63	-0.35	-0.38%	89.83	9890	91.10	91.10	90.54	
113019	玲珑转债	100.81	-0.19	-0.19%	191.47	19010	100.76	100.92	100.60	
113018	常熟转债	116.73	-0.57	-0.49%	3129.61	268120	117.48	118.56	116.30	
113017	吉视转债	93.09	-0.43	-0.46%	194.15	20830	93.55	93.55	93.03	
113016	小康转债	97.62	-0.10	-0.10%	199.44	20440	97.70	97.86	97.30	
113015	隆基转债	105.46	-0.79	-0.74%	569.51	53930	105.62	106.10	105.17	
113014	林洋转债	95.86	-1.04	-1.07%	136.70	14230	96.00	97.19	95.51	
113013	国君转债	105.83	-0.35	-0.33%	702.42	66350	105.73	106.15	105.73	
113012	骆驼转债	97.34	0.33	0.34%	65.68	6760	97.00	97.36	96.65	
113011	光大转债	107.41	-0.39	-0.36%	2400.32	223410	107.70	107.80	107.38	
113010	江南转债	102.77	0.05	0.05%	30.14	2920	103.00	104.00	102.72	
113009	广汽转债	102.96	-0.05	-0.05%	119.29	11580	103.38	103.38	102.96	
113008	电气转债	105.13	-0.07	-0.07%	6007.14	571030	105.15	105.30	105.03	
110043	无锡转债	98.49	-0.35	-0.35%	1003.24	101870	98.80	98.80	98.30	
110042	航电转债	113.16	-0.73	-0.64%	2070.49	182950	113.62	113.98	113.01	
110041	蒙电转债	99.00	-0.28	-0.28%	18.80	1900	99.20	99.21	98.52	
110040	生益转债	103.91	-0.89	-0.85%	350.04	33620	104.35	104.70	103.71	
110038	济川转债	109.47	-1.37	-1.24%	1329.62	121220	110.02	110.81	109.32	
110034	九州转债	103.51	0.02	0.02%	210.43	20320	104.28	104.28	103.36	
110033	国贸转债	105.59	-0.67	-0.63%	43.64	4140	105.29	105.95	105.29	
110032	三一转债	122.45	-0.02	-0.02%	1799.35	147360	122.40	122.45	121.51	
110031	航信转债	107.68	-0.25	-0.23%	155.52	14460	108.50	108.50	107.34	
110030	格力转债	103.42	-0.11	-0.11%	428.73	41400	103.53	103.69	103.42	
019569	17国债15	103.84	0.49	0.47%	185.61	17900	103.40	103.88	103.40	
019566	17国债12	100.41	-0.12	-0.12%	0.80	80	100.41	100.41	100.41	
019558	17国债04	100.28	0.10	0.10%	501.40	50000	100.28	100.28	100.28	
019551	16国债23	95.11	-0.77	-0.80%	3.04	320	95.11	95.11	95.11	
019548	16国债20	98.60	-0.53	-0.53%	2957.07	300210	98.50	98.70	98.50	
019547	16国债19	91.30	0.38	0.42%	6958.26	762190	90.95	91.36	90.86	
019544	16国债16	99.90	0.00	0.00%	1298.70	130000	99.90	99.90	99.90	
019541	16国债13	97.16	0.53	0.55%	94.26	9710	96.78	97.80	96.78	
019538	16国债10	96.60	-0.01	-0.01%	2.90	300	96.60	96.60	96.60	
019536	16国债08	95.34	0.26	0.27%	1195.00	125230	95.20	95.55	95.20	
019535	16国债07	100.00	1.15	1.16%	0.20	20	99.08	100.00	99.08	
019528	15国债28	100.76	0.39	0.39%	114.48	11440	98.90	100.76	98.90	
019521	15国债21	100.25	0.00	0.00%	60.85	6070	100.25	100.25	100.25	
019517	15国债17	102.59	0.05	0.05%	21.21	2070	102.45	102.60	102.35	
019514	15国债14	100.62	0.13	0.13%	6.04	600	100.62	100.62	100.62	
019508	15国债08	103.82	0.56	0.54%	204.75	19730	103.30	103.88	103.30	
019311	13国债11	101.10	-0.90	-0.88%	0.61	60	101.98	101.98	101.10	
010504	05国债(4)	103.52	0.01	0.01%	0.41	40	103.52	103.52	103.52	
010303	03国债(3)	100.71	0.06	0.06%	5135.71	510090	100.57	100.76	100.57	
010107	21国债(7)	102.95	0.10	0.10%	11749.57	1141750	102.85	102.95	102.85	
128035	大族转债	101.80	-0.20	-0.20%	312.68	30832	101.54	101.90	101.09	
128034	江银转债	101.14	-0.55	-0.54%	344.92	34029	101.50	101.67	101.11	
128030	天康转债	93.36	-0.14	-0.15%	53.90	5752	93.19	93.80	93.19	
128029	太阳转债	102.30	-0.92	-0.89%	133.98	13089	102.80	103.96	102.00	
128028	赣锋转债	96.75	-1.02	-1.04%	301.75	30980	97.30	97.77	96.50	
128027	崇达转债	108.03	-0.64	-0.59%	165.70	15284	110.50	110.50	108.02	
128026	众兴转债	89.28	-0.12	-0.13%	255.42	28600	89.24	89.50	89.00	
128025	特一转债	96.03	-0.27	-0.28%	48.36	5030	96.16	96.40	95.68	
128024	宁行转债	111.20	-0.40	-0.36%	3151.91	283519	111.40	111.50	111.00	
128022	众信转债	95.55	0.04	0.04%	10.28	1076	94.51	95.56	94.51	
128021	兄弟转债	99.50	-0.73	-0.73%	1024.07	103180	99.90	100.01	98.36	
128020	水晶转债	93.10	-0.34	-0.36%	665.74	71330	93.45	93.55	93.10	
128018	时达转债	89.70	-0.33	-0.37%	57.16	6363	89.88	90.03	89.54	
128017	金禾转债	100.70	0.04	0.04%	743.47	73876	100.67	101.39	100.33	
128016	雨虹转债	100.14	-0.86	-0.85%	263.97	26284	100.51	100.66	100.08	
128015	久其转债	94.20	0.20	0.21%	58.31	6180	94.00	94.50	93.75	
128014	永东转债	94.69	-0.19	-0.20%	173.84	18320	94.88	95.60	94.60	
